epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.608,1.05073,1.84285,1.13366,0.49751,0.44461,0.46132,0.2912,1.43322,1.87176,1.31109,3.30033e-05,3.30033e-05,0.0670297
2,224.332,0.90711,1.20601,1.06271,0.73787,0.57987,0.66206,0.47074,1.13404,1.16034,1.13446,6.57285e-05,6.57285e-05,0.0337291
3,335.314,0.87602,1.07634,1.04355,0.75089,0.59552,0.66642,0.48255,1.10231,1.09159,1.12669,9.78427e-05,9.78427e-05,0.000427876
4,446.204,0.85301,0.98912,1.02991,0.82333,0.63926,0.70357,0.51703,1.07646,0.99772,1.11363,9.725e-05,9.725e-05,9.725e-05
5,557.192,0.83243,0.92595,1.01865,0.78138,0.65637,0.72735,0.52609,1.06397,0.93571,1.09022,9.63333e-05,9.63333e-05,9.63333e-05
6,668.251,0.81742,0.89278,1.01483,0.82101,0.68282,0.73768,0.54659,1.03064,0.92025,1.07776,9.54167e-05,9.54167e-05,9.54167e-05
7,778.937,0.80689,0.86054,1.00615,0.79384,0.70491,0.74095,0.54735,1.03036,0.88385,1.08794,9.45e-05,9.45e-05,9.45e-05
8,889.952,0.79684,0.8188,1.00004,0.7799,0.68693,0.73364,0.53033,1.05233,0.90801,1.09992,9.35833e-05,9.35833e-05,9.35833e-05
9,1000.86,0.7919,0.79829,0.9994,0.86764,0.69293,0.75957,0.56579,1.03111,0.89737,1.07603,9.26667e-05,9.26667e-05,9.26667e-05
10,1111.67,0.77906,0.78263,0.99117,0.78788,0.68282,0.75458,0.55383,1.033,0.92835,1.07481,9.175e-05,9.175e-05,9.175e-05
11,1222.29,0.77621,0.76876,0.99334,0.8296,0.70293,0.77069,0.57956,1.01175,0.8365,1.0803,9.08333e-05,9.08333e-05,9.08333e-05
12,1332.89,0.77114,0.75365,0.98632,0.83545,0.73232,0.78525,0.58549,1.01534,0.80447,1.09364,8.99167e-05,8.99167e-05,8.99167e-05
13,1444.03,0.76276,0.74672,0.98554,0.8098,0.72998,0.76233,0.5779,1.01569,0.82315,1.0723,8.9e-05,8.9e-05,8.9e-05
14,1554.89,0.7598,0.72113,0.9789,0.8579,0.72764,0.7829,0.58729,1.0052,0.79786,1.07734,8.80833e-05,8.80833e-05,8.80833e-05
15,1666,0.7486,0.71331,0.97835,0.83503,0.70321,0.78458,0.57991,1.0153,0.80163,1.06997,8.71667e-05,8.71667e-05,8.71667e-05
16,1776.56,0.74114,0.70533,0.97064,0.81232,0.73705,0.78678,0.59655,1.0005,0.7796,1.0683,8.625e-05,8.625e-05,8.625e-05
17,1888,0.73979,0.68801,0.97172,0.85773,0.73835,0.79343,0.59199,1.02403,0.82155,1.07683,8.53333e-05,8.53333e-05,8.53333e-05
18,1998.67,0.73267,0.67817,0.9679,0.84091,0.74341,0.77718,0.59179,0.98734,0.781,1.06109,8.44167e-05,8.44167e-05,8.44167e-05
19,2109.58,0.72818,0.67113,0.96694,0.87551,0.74656,0.80692,0.61218,0.96862,0.7362,1.04323,8.35e-05,8.35e-05,8.35e-05
20,2220.01,0.72525,0.65678,0.96389,0.83801,0.74599,0.788,0.59336,0.98397,0.78386,1.03948,8.25833e-05,8.25833e-05,8.25833e-05
21,2330.52,0.71789,0.64595,0.96404,0.87787,0.7535,0.80981,0.61233,0.97491,0.74079,1.05221,8.16667e-05,8.16667e-05,8.16667e-05
22,2441.59,0.72122,0.64262,0.96002,0.8624,0.73801,0.79693,0.61372,0.96363,0.72377,1.0372,8.075e-05,8.075e-05,8.075e-05
23,2552.23,0.72137,0.64414,0.96464,0.87673,0.72662,0.79308,0.60897,0.95293,0.74165,1.04801,7.98333e-05,7.98333e-05,7.98333e-05
24,2662.98,0.70798,0.63043,0.95563,0.88925,0.72527,0.79173,0.608,0.96165,0.74628,1.05346,7.89167e-05,7.89167e-05,7.89167e-05
25,2773.58,0.7115,0.62298,0.95628,0.86422,0.7468,0.79195,0.6033,0.93809,0.74329,1.0352,7.8e-05,7.8e-05,7.8e-05
26,2884.17,0.70493,0.61302,0.95439,0.88701,0.7166,0.79628,0.61757,0.9532,0.75052,1.04276,7.70833e-05,7.70833e-05,7.70833e-05
27,2994.96,0.70158,0.61194,0.9517,0.81219,0.7468,0.79275,0.6019,0.97653,0.75907,1.05957,7.61667e-05,7.61667e-05,7.61667e-05
28,3105.43,0.70072,0.61366,0.94871,0.86456,0.74014,0.80048,0.61022,0.96047,0.73563,1.03911,7.525e-05,7.525e-05,7.525e-05
29,3215.89,0.69183,0.60269,0.94736,0.86009,0.77073,0.81197,0.62582,0.95683,0.74032,1.04903,7.43333e-05,7.43333e-05,7.43333e-05
30,3326.53,0.69226,0.5956,0.94943,0.87199,0.7594,0.81001,0.62735,0.94728,0.74785,1.04179,7.34167e-05,7.34167e-05,7.34167e-05
31,3437.14,0.68733,0.5914,0.94438,0.91243,0.73585,0.81286,0.62107,0.96464,0.66811,1.03617,7.25e-05,7.25e-05,7.25e-05
32,3547.81,0.68428,0.58007,0.94055,0.88573,0.78143,0.81777,0.63647,0.92791,0.71044,1.03287,7.15833e-05,7.15833e-05,7.15833e-05
33,3658.5,0.67866,0.57869,0.93944,0.88228,0.75798,0.8044,0.62512,0.92142,0.67379,1.03065,7.06667e-05,7.06667e-05,7.06667e-05
34,3769.11,0.6742,0.57363,0.93912,0.9074,0.72791,0.80154,0.62649,0.93232,0.69656,1.03742,6.975e-05,6.975e-05,6.975e-05
35,3879.91,0.67549,0.56595,0.93625,0.8698,0.76205,0.79909,0.62219,0.94796,0.69804,1.03557,6.88333e-05,6.88333e-05,6.88333e-05
36,3990.59,0.66867,0.56256,0.93626,0.85408,0.7672,0.80986,0.62465,0.93884,0.68152,1.02878,6.79167e-05,6.79167e-05,6.79167e-05
37,4101.03,0.66615,0.55893,0.93907,0.88046,0.76105,0.80527,0.62739,0.9343,0.70453,1.03694,6.7e-05,6.7e-05,6.7e-05
38,4211.72,0.66908,0.55382,0.93314,0.8973,0.75877,0.81054,0.63246,0.92668,0.67588,1.02299,6.60833e-05,6.60833e-05,6.60833e-05
39,4322.12,0.65796,0.54588,0.93119,0.87597,0.77693,0.81039,0.62935,0.95417,0.70844,1.04726,6.51667e-05,6.51667e-05,6.51667e-05
40,4433.38,0.66535,0.5467,0.93239,0.89209,0.77215,0.81778,0.63874,0.91874,0.65846,1.03318,6.425e-05,6.425e-05,6.425e-05
41,4544.26,0.66743,0.54463,0.93177,0.89911,0.74618,0.81476,0.64037,0.91833,0.65957,1.01862,6.33333e-05,6.33333e-05,6.33333e-05
42,4655.47,0.65264,0.53319,0.92823,0.89109,0.78838,0.81976,0.6375,0.90759,0.6582,1.02094,6.24167e-05,6.24167e-05,6.24167e-05
43,4766.39,0.65164,0.53293,0.92827,0.89873,0.77143,0.82075,0.64123,0.91389,0.6528,1.02895,6.15e-05,6.15e-05,6.15e-05
44,4877.25,0.65689,0.53614,0.92887,0.90009,0.7587,0.80972,0.63562,0.93236,0.67411,1.04263,6.05833e-05,6.05833e-05,6.05833e-05
45,4987.76,0.6462,0.52591,0.92447,0.89055,0.7773,0.8293,0.64521,0.91686,0.63234,1.02847,5.96667e-05,5.96667e-05,5.96667e-05
46,5098.48,0.65165,0.5238,0.92487,0.87293,0.81097,0.82999,0.64619,0.91733,0.63233,1.02574,5.875e-05,5.875e-05,5.875e-05
47,5209.27,0.64604,0.52878,0.92436,0.90701,0.78601,0.82589,0.64276,0.90871,0.65209,1.02493,5.78333e-05,5.78333e-05,5.78333e-05
48,5320.24,0.64942,0.52174,0.92624,0.88372,0.78557,0.82561,0.64505,0.90477,0.6592,1.01629,5.69167e-05,5.69167e-05,5.69167e-05
49,5431.18,0.6405,0.51336,0.92172,0.91148,0.76539,0.83138,0.64546,0.90378,0.63408,1.02193,5.6e-05,5.6e-05,5.6e-05
50,5542.09,0.64175,0.51711,0.92305,0.89918,0.7583,0.8172,0.63967,0.9156,0.65136,1.02523,5.50833e-05,5.50833e-05,5.50833e-05
51,5652.88,0.63375,0.50251,0.91842,0.92493,0.76695,0.82426,0.64242,0.9238,0.6338,1.03136,5.41667e-05,5.41667e-05,5.41667e-05
52,5764.03,0.63615,0.51272,0.92037,0.84772,0.79168,0.82379,0.64546,0.92596,0.65335,1.02984,5.325e-05,5.325e-05,5.325e-05
53,5875.31,0.63169,0.50102,0.91896,0.89847,0.78465,0.82693,0.64494,0.91563,0.64713,1.02934,5.23333e-05,5.23333e-05,5.23333e-05
54,5986.28,0.63518,0.49724,0.91926,0.89544,0.76156,0.82245,0.64368,0.91769,0.6621,1.03059,5.14167e-05,5.14167e-05,5.14167e-05
55,6097.13,0.62284,0.48743,0.91271,0.90057,0.77171,0.82135,0.64704,0.91984,0.64312,1.03356,5.05e-05,5.05e-05,5.05e-05
56,6207.91,0.63237,0.49739,0.91815,0.91915,0.77267,0.82453,0.64532,0.9123,0.63036,1.02236,4.95833e-05,4.95833e-05,4.95833e-05
57,6318.73,0.62924,0.49979,0.91638,0.90544,0.78782,0.82652,0.65267,0.90654,0.63381,1.01951,4.86667e-05,4.86667e-05,4.86667e-05
58,6429.68,0.61815,0.48409,0.91101,0.92446,0.78251,0.82962,0.65157,0.89325,0.63462,1.01174,4.775e-05,4.775e-05,4.775e-05
59,6542.52,0.62418,0.48772,0.91375,0.89404,0.79646,0.82884,0.65318,0.89858,0.64007,1.01422,4.68333e-05,4.68333e-05,4.68333e-05
60,6654.6,0.61919,0.48174,0.90908,0.9212,0.78432,0.8326,0.6559,0.8883,0.62526,1.00601,4.59167e-05,4.59167e-05,4.59167e-05
61,6765.64,0.62035,0.48215,0.91284,0.89524,0.76248,0.8178,0.64526,0.89296,0.62545,1.01269,4.5e-05,4.5e-05,4.5e-05
62,6876.78,0.61617,0.47607,0.91232,0.9208,0.7628,0.82173,0.64816,0.88361,0.61261,1.00843,4.40833e-05,4.40833e-05,4.40833e-05
63,6987.54,0.60931,0.46979,0.90857,0.93289,0.76418,0.82294,0.65191,0.89077,0.63149,1.01043,4.31667e-05,4.31667e-05,4.31667e-05
64,7098.08,0.60299,0.46714,0.90785,0.91825,0.76893,0.83168,0.65955,0.87605,0.61806,0.99875,4.225e-05,4.225e-05,4.225e-05
65,7208.76,0.61267,0.47307,0.90881,0.92513,0.79062,0.82726,0.66161,0.86278,0.59231,0.99557,4.13333e-05,4.13333e-05,4.13333e-05
66,7319.74,0.61403,0.46719,0.90688,0.91315,0.77547,0.81741,0.65305,0.87024,0.60211,0.99459,4.04167e-05,4.04167e-05,4.04167e-05
67,7430.92,0.60265,0.46454,0.90855,0.92527,0.78685,0.8259,0.64699,0.88217,0.59943,1.0074,3.95e-05,3.95e-05,3.95e-05
68,7541.87,0.60094,0.4623,0.90322,0.93279,0.7656,0.82491,0.64879,0.87272,0.59796,1.00806,3.85833e-05,3.85833e-05,3.85833e-05
69,7652.76,0.6004,0.45596,0.90002,0.92108,0.77507,0.83259,0.66042,0.86738,0.60685,0.99134,3.76667e-05,3.76667e-05,3.76667e-05
70,7763.97,0.59846,0.45613,0.90286,0.89284,0.78685,0.82942,0.6589,0.87436,0.60174,0.99882,3.675e-05,3.675e-05,3.675e-05
